Country,Date,Player,Mins,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
Canada,2021-07-29,Liam Fraser,13,MF,0,0,,0,0,0,0,1,0,0,0,2,NA,NA,NA,NA,NA
Canada,2021-07-29,Stephen Eustáquio,90,CM,0,0,,0,0,1,0,1,0,0,0,2,NA,NA,NA,NA,NA
Canada,2021-07-29,Tajon Buchanan,90,RM,1,0,,0,0,3,2,0,1,0,0,2,NA,NA,NA,NA,NA
Canada,2021-07-29,Kamal Miller,90,CB,0,0,,0,0,0,0,2,0,0,0,2,NA,NA,NA,NA,NA
Canada,2021-07-29,Doneil Henry,90,CB,0,0,,0,0,1,0,1,1,0,0,2,NA,NA,NA,NA,NA
Canada,2021-07-29,Alistair Johnston,90,CB,0,0,,0,0,0,0,3,0,0,0,2,NA,NA,NA,NA,NA
Canada,2021-07-29,Maxime Crépeau,90,GK,0,0,,0,0,0,0,0,1,0,0,2,4,75.0,1,NA,0
Canada,2021-09-02,Cyle Larin,90,FW,1,0,,1,1,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-09-02,Richie Laryea,90,AM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-09-02,Jonathan David,90,AM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-09-02,Tajon Buchanan,45,AM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-09-02,Junior Hoilett,45,"FW,MF",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-09-02,Stephen Eustáquio,90,DM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-09-02,Atiba Hutchinson,90,DM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-09-02,Alphonso Davies,90,LB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-09-02,Kamal Miller,85,CB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-09-02,Scott Kennedy,5,DF,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
